group,pin_number_ball,pin_name,u0_net_bank2b,u1_net_bank3a,orcad_pin_type,note
DQ Byte2 / CH-B lower,V15,DQ0_B,LP5_U0_DQ16,LP5_U1_DQ16,Bidirectional,offpage
DQ Byte2 / CH-B lower,W14,DQ1_B,LP5_U0_DQ17,LP5_U1_DQ17,Bidirectional,offpage
DQ Byte2 / CH-B lower,U14,DQ2_B,LP5_U0_DQ18,LP5_U1_DQ18,Bidirectional,offpage
DQ Byte2 / CH-B lower,V13,DQ3_B,LP5_U0_DQ19,LP5_U1_DQ19,Bidirectional,offpage
DQ Byte2 / CH-B lower,Y11,DQ4_B,LP5_U0_DQ20,LP5_U1_DQ20,Bidirectional,offpage
DQ Byte2 / CH-B lower,W10,DQ5_B,LP5_U0_DQ21,LP5_U1_DQ21,Bidirectional,offpage
DQ Byte2 / CH-B lower,U10,DQ6_B,LP5_U0_DQ22,LP5_U1_DQ22,Bidirectional,offpage
DQ Byte2 / CH-B lower,T11,DQ7_B,LP5_U0_DQ23,LP5_U1_DQ23,Bidirectional,offpage
DQ Byte2 / CH-B lower,AA12,DMI0_B,LP5_U0_DMI2,LP5_U1_DMI2,Bidirectional,offpage
DQ Byte2 / CH-B lower,Y13,RDQS0_t_B,LP5_U0_RDQS2_T,LP5_U1_RDQS2_T,Bidirectional,offpage
DQ Byte2 / CH-B lower,W12,RDQS0_c_B,LP5_U0_RDQS2_C,LP5_U1_RDQS2_C,Bidirectional,offpage
DQ Byte3 / CH-B upper,V1,DQ8_B,LP5_U0_DQ24,LP5_U1_DQ24,Bidirectional,offpage
DQ Byte3 / CH-B upper,W2,DQ9_B,LP5_U0_DQ25,LP5_U1_DQ25,Bidirectional,offpage
DQ Byte3 / CH-B upper,U2,DQ10_B,LP5_U0_DQ26,LP5_U1_DQ26,Bidirectional,offpage
DQ Byte3 / CH-B upper,V3,DQ11_B,LP5_U0_DQ27,LP5_U1_DQ27,Bidirectional,offpage
DQ Byte3 / CH-B upper,Y5,DQ12_B,LP5_U0_DQ28,LP5_U1_DQ28,Bidirectional,offpage
DQ Byte3 / CH-B upper,W6,DQ13_B,LP5_U0_DQ29,LP5_U1_DQ29,Bidirectional,offpage
DQ Byte3 / CH-B upper,U6,DQ14_B,LP5_U0_DQ30,LP5_U1_DQ30,Bidirectional,offpage
DQ Byte3 / CH-B upper,T5,DQ15_B,LP5_U0_DQ31,LP5_U1_DQ31,Bidirectional,offpage
DQ Byte3 / CH-B upper,AA4,DMI1_B,LP5_U0_DMI3,LP5_U1_DMI3,Bidirectional,offpage
DQ Byte3 / CH-B upper,Y3,RDQS1_t_B,LP5_U0_RDQS3_T,LP5_U1_RDQS3_T,Bidirectional,offpage
DQ Byte3 / CH-B upper,W4,RDQS1_c_B,LP5_U0_RDQS3_C,LP5_U1_RDQS3_C,Bidirectional,offpage
CA/CK/WCK/CS/RESET shared x32,G4,CA0_A,LP5_U0_CA0,LP5_U1_CA0,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,R12,CA0_B,LP5_U0_CA0,LP5_U1_CA0,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,H5,CA1_A,LP5_U0_CA1,LP5_U1_CA1,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,P11,CA1_B,LP5_U0_CA1,LP5_U1_CA1,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,G8,CA2_A,LP5_U0_CA2,LP5_U1_CA2,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,R8,CA2_B,LP5_U0_CA2,LP5_U1_CA2,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,H11,CA3_A,LP5_U0_CA3,LP5_U1_CA3,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,P5,CA3_B,LP5_U0_CA3,LP5_U1_CA3,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,G10,CA4_A,LP5_U0_CA4,LP5_U1_CA4,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,R6,CA4_B,LP5_U0_CA4,LP5_U1_CA4,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,H13,CA5_A,LP5_U0_CA5,LP5_U1_CA5,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,P3,CA5_B,LP5_U0_CA5,LP5_U1_CA5,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,G12,CA6_A,LP5_U0_CA6,LP5_U1_CA6,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,R4,CA6_B,LP5_U0_CA6,LP5_U1_CA6,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,H9,CK_t_A,LP5_U0_CK_T,LP5_U1_CK_T,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,P7,CK_t_B,LP5_U0_CK_T,LP5_U1_CK_T,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,J9,CK_c_A,LP5_U0_CK_C,LP5_U1_CK_C,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,N7,CK_c_B,LP5_U0_CK_C,LP5_U1_CK_C,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,E4,WCK0_t_A,LP5_U0_WCK0_T,LP5_U1_WCK0_T,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,U12,WCK0_t_B,LP5_U0_WCK0_T,LP5_U1_WCK0_T,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,D5,WCK0_c_A,LP5_U0_WCK0_C,LP5_U1_WCK0_C,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,V11,WCK0_c_B,LP5_U0_WCK0_C,LP5_U1_WCK0_C,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,E12,WCK1_t_A,LP5_U0_WCK1_T,LP5_U1_WCK1_T,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,U4,WCK1_t_B,LP5_U0_WCK1_T,LP5_U1_WCK1_T,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,D11,WCK1_c_A,LP5_U0_WCK1_C,LP5_U1_WCK1_C,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,V5,WCK1_c_B,LP5_U0_WCK1_C,LP5_U1_WCK1_C,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,H7,CS0_A,LP5_U0_CS0,LP5_U1_CS0,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,P9,CS0_B,LP5_U0_CS0,LP5_U1_CS0,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,G6,CS1_A,LP5_U0_CS1,LP5_U1_CS1,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,R10,CS1_B,LP5_U0_CS1,LP5_U1_CS1,Input,offpage shared A/B
CA/CK/WCK/CS/RESET shared x32,H1,RESET_N,LP5_U0_RESET_N,LP5_U1_RESET_N,Input,offpage
ZQ local resistor,H15,ZQ_A,LP5_U0_ZQ_A_240R_TO_VDDQ,LP5_U1_ZQ_A_240R_TO_VDDQ,Passive,"local, not FPGA offpage"
